movie_name
肖申克的救赎
霸王别姬
阿甘正传
这个杀手不太冷
泰坦尼克号
美丽人生
千与千寻
辛德勒的名单
盗梦空间
忠犬八公的故事
星际穿越
楚门的世界
海上钢琴师
三傻大闹宝莱坞
机器人总动员
放牛班的春天
无间道
疯狂动物城
大话西游之大圣娶亲
熔炉
教父
当幸福来敲门
龙猫
控方证人
怦然心动
触不可及
末代皇帝
蝙蝠侠：黑暗骑士
寻梦环游记
活着
指环王3：王者无敌
哈利·波特与魔法石
乱世佳人
何以为家
素媛
飞屋环游记
摔跤吧！爸爸
十二怒汉
哈尔的移动城堡
少年派的奇幻漂流
我不是药神
鬼子来了
大话西游之月光宝盒
天空之城
天堂电影院
猫鼠游戏
闻香识女人
指环王2：双塔奇兵
罗马假日
钢琴家
辩护人
指环王1：护戒使者
让子弹飞
大闹天宫
教父2
狮子王
死亡诗社
黑客帝国
搏击俱乐部
海蒂和爷爷
绿皮书
饮食男女
美丽心灵
窃听风暴
本杰明·巴顿奇事
两杆大烟枪
情书
穿条纹睡衣的男孩
西西里的美丽传说
看不见的客人
飞越疯人院
拯救大兵瑞恩
音乐之声
小鞋子
阿凡达
海豚湾
致命魔术
沉默的羔羊
美国往事
禁闭岛
哈利·波特与死亡圣器(下)
蝴蝶效应
布达佩斯大饭店
心灵捕手
低俗小说
春光乍泄
七宗罪
摩登时代
喜剧之王
致命ID
被嫌弃的松子的一生
杀人回忆
加勒比海盗
剪刀手爱德华
红辣椒
狩猎
请以你的名字呼唤我
勇敢的心
7号房的礼物
断背山
功夫
超脱
天使爱美丽
哈利·波特与阿兹卡班的囚徒
幽灵公主
第六感
唐伯虎点秋香
重庆森林
小森林 夏秋篇
阳光灿烂的日子
爱在黎明破晓前
一一
蝙蝠侠：黑暗骑士崛起
菊次郎的夏天
消失的爱人
无人知晓
小森林 冬春篇
超能陆战队
完美的世界
哈利·波特与密室
入殓师
倩女幽魂
侧耳倾听
爱在日落黄昏时
借东西的小人阿莉埃蒂
甜蜜蜜
萤火之森
驯龙高手
幸福终点站
玛丽和马克思
大鱼
时空恋旅人
告白
阳光姐妹淘
怪兽电力公司
射雕英雄传之东成西就
神偷奶爸
傲慢与偏见
恐怖直播
教父3
玩具总动员3
釜山行
一个叫欧维的男人决定去死
哪吒闹海
被解救的姜戈
血战钢锯岭
未麻的部屋
头号玩家
七武士
我是山姆
喜宴
电锯惊魂
寄生虫
新世界
模仿游戏
卢旺达饭店
三块广告牌
花样年华
风之谷
黑客帝国3：矩阵革命
上帝之城
疯狂原始人
谍影重重3
英雄本色
哈利·波特与火焰杯
你的名字。
头脑特工队
达拉斯买家俱乐部
纵横四海
心迷宫
岁月神偷
记忆碎片
忠犬八公物语
海街日记
荒蛮故事
惊魂记
爆裂鼓手
贫民窟的百万富翁
真爱至上
九品芝麻官
东邪西毒
绿里奇迹
小偷家族
爱在午夜降临前
无敌破坏王
黑天鹅
冰川时代
你看起来好像很好吃
萤火虫之墓
疯狂的石头
雨人
恋恋笔记本
恐怖游轮
雨中曲
色，戒
魔女宅急便
2001太空漫游
城市之光
可可西里
二十二
虎口脱险
人工智能
奇迹男孩
海边的曼彻斯特
初恋这件小事
遗愿清单
大佛普拉斯
罗生门
终结者2：审判日
牯岭街少年杀人事件
房间
青蛇
源代码
无间道2
新龙门客栈
东京教父
疯狂的麦克斯4：狂暴之路
波西米亚狂想曲
魂断蓝桥
无耻混蛋
步履不停
血钻
彗星来的那一夜
燃情岁月
战争之王
千钧一发
谍影重重2
茶馆
海洋
黑客帝国2：重装上阵
崖上的波妞
阿飞正传
穿越时空的少女
谍影重重
地球上的星星
完美陌生人
香水
背靠背，脸对脸
再次出发之纽约遇见你
我爱你
朗读者
爱乐之城
小丑
聚焦
驴得水
浪潮
小萝莉的猴神大叔
火星救援
猜火车
千年女优
